Server round: 1 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671CD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.124489799053744, num_examples=100, metrics={'accuracy': 0.63, 'cid': '32'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FA60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.7021391761670455, num_examples=100, metrics={'accuracy': 0.59, 'cid': '7'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F3D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.156777407619397, num_examples=100, metrics={'accuracy': 0.63, 'cid': '23'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A9A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.9912405325452215, num_examples=100, metrics={'accuracy': 0.77, 'cid': '94'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16716D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=1.112250251015793, num_examples=100, metrics={'accuracy': 0.71, 'cid': '52'}))]
Server round: 22 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164ADC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.538229800117603, num_examples=100, metrics={'accuracy': 0.86, 'cid': '74'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AE80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3616335458020486, num_examples=100, metrics={'accuracy': 0.87, 'cid': '72'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.46494419378228735, num_examples=100, metrics={'accuracy': 0.84, 'cid': '96'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671070>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5308927292269672, num_examples=100, metrics={'accuracy': 0.82, 'cid': '66'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F640>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3481082046066352, num_examples=100, metrics={'accuracy': 0.93, 'cid': '8'}))]
Server round: 23 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671940>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6937223427701568, num_examples=100, metrics={'accuracy': 0.82, 'cid': '48'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671C70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.48782713691421237, num_examples=100, metrics={'accuracy': 0.85, 'cid': '41'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E9A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3669775748369867, num_examples=100, metrics={'accuracy': 0.9, 'cid': '82'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A9A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.20586194534801927, num_examples=100, metrics={'accuracy': 0.96, 'cid': '94'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F9D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5590519668435122, num_examples=100, metrics={'accuracy': 0.85, 'cid': '9'}))]
Server round: 24 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671580>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2100988263221026, num_examples=100, metrics={'accuracy': 0.96, 'cid': '55'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F040>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5215076844580032, num_examples=100, metrics={'accuracy': 0.85, 'cid': '29'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F640>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3310528695513865, num_examples=100, metrics={'accuracy': 0.92, 'cid': '8'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AF10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.30071416998447154, num_examples=100, metrics={'accuracy': 0.93, 'cid': '71'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F6D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5922264365231303, num_examples=100, metrics={'accuracy': 0.83, 'cid': '15'}))]
Server round: 25 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671400>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.49407884077391295, num_examples=100, metrics={'accuracy': 0.85, 'cid': '60'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169EAC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.26084105221349363, num_examples=100, metrics={'accuracy': 0.95, 'cid': '76'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FD00>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.41692522861135517, num_examples=100, metrics={'accuracy': 0.88, 'cid': '2'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A850>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7425751732999827, num_examples=100, metrics={'accuracy': 0.8, 'cid': '97'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AE80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.32862115806950365, num_examples=100, metrics={'accuracy': 0.92, 'cid': '72'}))]
Server round: 26 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671BE0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6406347201323066, num_examples=100, metrics={'accuracy': 0.8, 'cid': '42'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F040>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5313809327530454, num_examples=100, metrics={'accuracy': 0.88, 'cid': '29'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AD60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.1462809712446053, num_examples=100, metrics={'accuracy': 0.97, 'cid': '73'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AE80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.34023489131113993, num_examples=100, metrics={'accuracy': 0.89, 'cid': '72'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164ACD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2683849746662891, num_examples=100, metrics={'accuracy': 0.91, 'cid': '68'}))]
Server round: 27 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A3A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6075090442151374, num_examples=100, metrics={'accuracy': 0.86, 'cid': '99'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AA60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2253709753540275, num_examples=100, metrics={'accuracy': 0.97, 'cid': '92'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671F10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6085234603534668, num_examples=100, metrics={'accuracy': 0.8, 'cid': '35'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671880>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.31325055816754693, num_examples=100, metrics={'accuracy': 0.9, 'cid': '50'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AAF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2142598206402418, num_examples=100, metrics={'accuracy': 0.94, 'cid': '91'}))]
Server round: 28 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AF10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2937399397513386, num_examples=100, metrics={'accuracy': 0.91, 'cid': '71'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F2B0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5611418375078017, num_examples=100, metrics={'accuracy': 0.89, 'cid': '26'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671730>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.1613097320870059, num_examples=100, metrics={'accuracy': 0.96, 'cid': '53'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A3A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6160306544311941, num_examples=100, metrics={'accuracy': 0.81, 'cid': '99'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F910>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.42654168818310934, num_examples=100, metrics={'accuracy': 0.89, 'cid': '10'}))]
Server round: 29 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16719D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4352878136541405, num_examples=100, metrics={'accuracy': 0.89, 'cid': '47'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AEB0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.19292775369678544, num_examples=100, metrics={'accuracy': 0.98, 'cid': '70'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FC70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.495462419304889, num_examples=100, metrics={'accuracy': 0.86, 'cid': '4'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AE80>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.31126822026118584, num_examples=100, metrics={'accuracy': 0.91, 'cid': '72'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F7F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4549585087232229, num_examples=100, metrics={'accuracy': 0.84, 'cid': '14'}))]
Server round: 30 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E8E0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.050821633263810576, num_examples=100, metrics={'accuracy': 1.0, 'cid': '87'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671DC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.8296870786842053, num_examples=100, metrics={'accuracy': 0.77, 'cid': '38'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.41622235553976855, num_examples=100, metrics={'accuracy': 0.88, 'cid': '96'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F8E0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4877502994241514, num_examples=100, metrics={'accuracy': 0.84, 'cid': '3'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AF10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.26492679514722206, num_examples=100, metrics={'accuracy': 0.92, 'cid': '71'}))]
Server round: 31 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671D60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6720232632926765, num_examples=100, metrics={'accuracy': 0.8, 'cid': '37'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AFD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.21715018997926536, num_examples=100, metrics={'accuracy': 0.93, 'cid': '69'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169ECD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2659057347007416, num_examples=100, metrics={'accuracy': 0.93, 'cid': '79'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671730>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.1672813304136006, num_examples=100, metrics={'accuracy': 0.97, 'cid': '53'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671F10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5994876030951427, num_examples=100, metrics={'accuracy': 0.83, 'cid': '35'}))]
Server round: 32 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A9A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.20432354362806648, num_examples=100, metrics={'accuracy': 0.94, 'cid': '94'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F910>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.420426396774668, num_examples=100, metrics={'accuracy': 0.89, 'cid': '10'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671DC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.812345492910832, num_examples=100, metrics={'accuracy': 0.78, 'cid': '38'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2211283592088632, num_examples=100, metrics={'accuracy': 0.93, 'cid': '84'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AFD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.23870527492798882, num_examples=100, metrics={'accuracy': 0.92, 'cid': '69'}))]
Server round: 33 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671A90>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.44837628492313003, num_examples=100, metrics={'accuracy': 0.89, 'cid': '45'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F730>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.49374908160009895, num_examples=100, metrics={'accuracy': 0.88, 'cid': '16'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FAF0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5290868398785169, num_examples=100, metrics={'accuracy': 0.84, 'cid': '6'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1698C10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.32600609965696103, num_examples=100, metrics={'accuracy': 0.95, 'cid': '1'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F910>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4329497851796809, num_examples=100, metrics={'accuracy': 0.88, 'cid': '10'}))]
Server round: 34 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671730>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.1482080785918045, num_examples=100, metrics={'accuracy': 0.97, 'cid': '53'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F6D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5733962069245621, num_examples=100, metrics={'accuracy': 0.86, 'cid': '15'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E910>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.23897994678985626, num_examples=100, metrics={'accuracy': 0.94, 'cid': '83'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AD60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.1380197339763416, num_examples=100, metrics={'accuracy': 0.97, 'cid': '73'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671160>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5057745314134299, num_examples=100, metrics={'accuracy': 0.89, 'cid': '65'}))]
Server round: 35 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169EA60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.11858999523647851, num_examples=100, metrics={'accuracy': 0.98, 'cid': '86'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FC70>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4798167501311539, num_examples=100, metrics={'accuracy': 0.86, 'cid': '4'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671DC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7394088995376777, num_examples=100, metrics={'accuracy': 0.77, 'cid': '38'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671490>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4339804885902863, num_examples=100, metrics={'accuracy': 0.84, 'cid': '59'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671BE0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5973440182030685, num_examples=100, metrics={'accuracy': 0.83, 'cid': '42'}))]
Server round: 36 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F580>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4213584605250115, num_examples=100, metrics={'accuracy': 0.87, 'cid': '18'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F790>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5474112960852017, num_examples=100, metrics={'accuracy': 0.78, 'cid': '5'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F040>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5046792576445722, num_examples=100, metrics={'accuracy': 0.88, 'cid': '29'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169ECD0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2780489881614026, num_examples=100, metrics={'accuracy': 0.91, 'cid': '79'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE16715E0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.37276562068655567, num_examples=100, metrics={'accuracy': 0.89, 'cid': '56'}))]
Server round: 37 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FA60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.39175736379900045, num_examples=100, metrics={'accuracy': 0.89, 'cid': '7'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671D30>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5418369318351187, num_examples=100, metrics={'accuracy': 0.84, 'cid': '39'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F910>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.41974246735474935, num_examples=100, metrics={'accuracy': 0.89, 'cid': '10'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F3D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.45598440023364906, num_examples=100, metrics={'accuracy': 0.84, 'cid': '23'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F7F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.43143624270878184, num_examples=100, metrics={'accuracy': 0.85, 'cid': '14'}))]
Server round: 38 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F520>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6076215260271944, num_examples=100, metrics={'accuracy': 0.88, 'cid': '20'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671DC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.7978984130594329, num_examples=100, metrics={'accuracy': 0.77, 'cid': '38'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F9D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5354624207372524, num_examples=100, metrics={'accuracy': 0.85, 'cid': '9'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169ED00>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.17325492872479895, num_examples=100, metrics={'accuracy': 0.95, 'cid': '77'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F790>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5494412162674568, num_examples=100, metrics={'accuracy': 0.77, 'cid': '5'}))]
Server round: 39 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.23213461244011807, num_examples=100, metrics={'accuracy': 0.92, 'cid': '84'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671070>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4261360197174035, num_examples=100, metrics={'accuracy': 0.89, 'cid': '66'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164AC40>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.06313107451186176, num_examples=100, metrics={'accuracy': 1.0, 'cid': '88'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167FA60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3653340419516855, num_examples=100, metrics={'accuracy': 0.9, 'cid': '7'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A3A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5675641254481409, num_examples=100, metrics={'accuracy': 0.88, 'cid': '99'}))]
Server round: 40 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F6A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6363639272271852, num_examples=100, metrics={'accuracy': 0.84, 'cid': '17'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671430>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.3470137118944154, num_examples=100, metrics={'accuracy': 0.91, 'cid': '58'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671C10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.452682863576308, num_examples=100, metrics={'accuracy': 0.88, 'cid': '40'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169E4F0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.2068770760108561, num_examples=100, metrics={'accuracy': 0.94, 'cid': '84'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164ADC0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.4726791354520779, num_examples=100, metrics={'accuracy': 0.89, 'cid': '74'}))]
Server round: 41 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F6A0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6431648786017015, num_examples=100, metrics={'accuracy': 0.84, 'cid': '17'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F2E0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.38646678110189425, num_examples=100, metrics={'accuracy': 0.89, 'cid': '24'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671D60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6125683113997049, num_examples=100, metrics={'accuracy': 0.82, 'cid': '37'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F520>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.6022506853941247, num_examples=100, metrics={'accuracy': 0.86, 'cid': '20'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F6D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5677751904820082, num_examples=100, metrics={'accuracy': 0.87, 'cid': '15'}))]
Server round: 42 results: [(<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE164A790>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5500605087832228, num_examples=100, metrics={'accuracy': 0.84, 'cid': '90'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE1671F10>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5496992271288562, num_examples=100, metrics={'accuracy': 0.86, 'cid': '35'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F6D0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.5481552567512171, num_examples=100, metrics={'accuracy': 0.87, 'cid': '15'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE167F8E0>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.45946135298819707, num_examples=100, metrics={'accuracy': 0.85, 'cid': '3'})), (<flwr.simulation.ray_transport.ray_client_proxy.RayClientProxy object at 0x000001ACE169EA60>, EvaluateRes(status=Status(code=<Code.OK: 0>, message='Success'), loss=0.10213586818281298, num_examples=100, metrics={'accuracy': 0.99, 'cid': '86'}))]
